Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Oleksandr Gromov,M,SBD,Single-ply,Open,56,175.0,115.0,190.0,480.0
Huy Vu,M,SBD,Single-ply,M-O,83,165.0,102.5,190.0,457.5
Johnny Billups,M,SBD,Raw,MR-O,83,140.0,100.0,175.0,415.0
Jennifer Gonzales,F,SBD,Raw,Open,63,85.0,40.0,80.0,205.0
Collin Yakwo,M,SBD,Raw,Open,105,225.0,180.0,225.0,630.0
Irina Kotendzhi,F,SBD,Single-ply,Open,63,120.0,70.0,120.0,310.0
Jeremy Schwartz,M,SBD,Raw,MR-O,66,132.5,102.5,150.0,385.0
Alena Gladkova,F,SBD,Raw,Juniors,52,80.0,75.0,120.0,275.0
Michelle Blackledge,F,SBD,Raw,Open,72,60.0,37.5,80.0,177.5
Dwayne Welch,M,SBD,Raw,M-O-U,59,135.0,85.0,165.0,385.0
Felix Bergsvik Hamar,M,SBD,Raw,Teen 14-18,66,70.0,50.0,105.0,225.0
Jonas Cardoso Amadeu,M,SBD,Raw,Open,105,-180.0,150.0,220.0,190.0
Andrew Villafuerte,M,SBD,Raw,Open,74,190.0,120.0,227.5,537.5
Edoardo Zoni,M,SBD,Raw,Junior,93,250.0,147.5,240.0,637.5
Adrián Solana Guerrero,M,SBD,Raw,SNR,93,220.0,145.0,265.0,630.0
Keith Jackson II,M,SBD,Single-ply,M-T3,120+,-280.0,125.0,225.0,70.0
Lucas Cheylan,M,SBD,Raw,Sub-Juniors,59,130.0,70.0,142.5,342.5
Robert Salin,M,SBD,Raw,Open,105,180.0,100.0,210.0,490.0
Luca Fornari,M,SBD,Single-ply,M-M1,82.5,170.0,-92.5,180.0,257.5
Michael Campion,M,SBD,Raw,Open,120,210.0,185.0,240.0,635.0
Peter Read,M,SBD,Raw,MR-O,120,235.0,160.0,245.0,640.0
David Spady,M,SBD,Raw,MR-O,93,177.5,105.0,217.5,500.0
Olena Dukhovna,F,SBD,Single-ply,Open,75,115.0,55.0,120.0,290.0
Levi Faustino,M,SBD,Raw,MR-O,93,100.0,60.0,102.5,262.5
Katrina Dunbar,F,SBD,Single-ply,F-TJ,60,122.5,-67.5,125.0,180.0
Maxence Duchamp,M,SBD,Raw,Juniors,83,145.0,77.5,-170.0,52.5
Niko Tukiainen,M,SBD,Raw,Under 23,120,220.0,135.0,235.0,590.0
Eduard Tepper,M,SBD,Single-ply,Open,93,275.0,210.0,280.0,765.0
Aysun Cakmak,F,SBD,Raw,Masters 1,63,130.0,70.0,-155.0,45.0
Saqib Shahid,M,SBD,Raw,MR-O,74,87.5,40.0,130.0,257.5
Mikkel Madsen,M,SBD,Single-ply,Open,83,230.0,122.5,192.5,545.0
María Sánchez Rodríguez #1,F,SBD,Raw,SNR,69,140.0,-77.5,162.5,225.0
Andrey Butenko,M,SBD,Single-ply,Open,82.5,260.0,-160.0,240.0,340.0
Ron Kronschwitz,M,SBD,Single-ply,Open,82.5,245.0,180.0,220.0,645.0
PJ Chovanec,M,SBD,Single-ply,M-O,100,-305.0,182.5,320.0,197.5
Nadiya Petrovska,F,SBD,Single-ply,Open,75,-170.0,100.0,150.0,80.0
Gökhan Akkaş,M,SBD,Raw,MR-SJ,74,142.5,110.0,195.0,447.5
Sergiy Drachuk,M,SBD,Single-ply,Juniors,82.5,250.0,-160.0,240.0,330.0
Gustavo Adolfo Moreno Martinez,M,SBD,Single-ply,Open,93,170.0,110.0,230.0,510.0
Matthew Seiuli,M,SBD,Raw,MR-O,120+,272.5,-225.0,272.5,320.0
Marita Hårberg Vaterholm,F,SBD,Raw,Open,69,-140.0,85.0,150.0,95.0
Daniela Anton,F,SBD,Raw,Open,63,155.0,75.0,172.5,402.5
Jenesis Fonder,F,SBD,Raw,FR-TJ,63,120.0,75.0,150.0,345.0
Aaron Gonzalez,M,SBD,Raw,MR-O,120,185.0,125.0,207.5,517.5
Khristine Zimmerman,F,SBD,Raw,FR-Jr,63,80.0,40.0,97.5,217.5
John Gerard Horgan,M,SBD,Raw,M3,83,130.0,77.5,-170.0,37.5
Rebecca Miracle,F,SBD,Raw,FR-Y3,69,70.0,37.5,82.5,190.0
Tim Connors,M,SBD,Raw,MR-O,120,-182.5,-117.5,265.0,-35.0
Nadeige Dionne-Welch,F,SBD,Raw,Open,84,120.0,57.5,110.0,287.5
Oddbjørn Vagle,M,SBD,Raw,Masters 40-49,83,150.0,120.0,220.0,490.0
Jon Ramstad,M,SBD,Single-ply,Open,105,290.0,270.0,260.0,820.0
Sofia Tweedie,F,SBD,Raw,FR-Y,72,72.5,32.5,87.5,192.5
Eryk Paszkiewicz,M,SBD,Raw,Juniorzy do lat 20,105,260.0,125.0,260.0,645.0
Cliff Haynes,M,SBD,Single-ply,M-E-M2,74,220.0,170.0,215.0,605.0
Simone Scheltens,F,SBD,Raw,Open,57,-120.0,70.0,142.5,92.5
Kelly Tabor,F,SBD,Raw,FR-M1,72,100.0,45.0,115.0,260.0
John Smart,M,SBD,Raw,MR-O,105,232.5,140.0,212.5,585.0
Tanya Walis,F,SBD,Raw,FR-O,84,105.0,60.0,135.0,300.0
Charles Mathis,M,SBD,Raw,MR-O,83,190.0,127.5,227.5,545.0
Davide Ren,M,SBD,Raw,Senior,93,220.0,142.5,220.0,582.5
Oana Nicoleta Nica,F,SBD,Raw,Junior,63,90.0,47.5,-120.0,17.5
Ryan Walsh,M,SBD,Raw,MR-O,105,255.0,165.0,257.5,677.5
Maryana Rospopa,F,SBD,Single-ply,Sub-Juniors,40,42.5,32.5,-52.5,22.5
Claudio Forti,M,SBD,Raw,Open,74,185.0,115.0,230.0,530.0
Shanyn Simmerman,F,SBD,Raw,FR-T3,84+,140.0,52.5,140.0,332.5
Bill Peters-Cheale,M,SBD,Raw,MR-O,74,147.5,112.5,200.0,460.0
Maria Hakulinen,F,SBD,Raw,Open,63,105.0,72.5,120.0,297.5
Michael Armeni,M,SBD,Raw,MR-O,105,202.5,112.5,220.0,535.0
Jack Ward,M,SBD,Raw,MR-O,120+,190.0,125.0,190.0,505.0
Brian Simpson,M,SBD,Raw,M-C-Open,105,167.5,110.0,220.0,497.5
Carste Stornfels,M,SBD,Single-ply,Open,110,230.0,145.0,235.0,610.0
Noor Abwah,F,SBD,Raw,Open,52,87.5,45.0,85.0,217.5
Craig Smith #1,M,SBD,Raw,Masters 1,120,190.0,140.0,250.0,580.0
Ravi Hollo,M,SBD,Raw,Juniors,83,210.0,142.5,240.0,592.5
田野 智徳,M,SBD,Raw,Open,105,275.0,-210.0,265.0,330.0
Bianca Mourik,F,SBD,Raw,F-C-Open,63,112.5,55.0,130.0,297.5
松田 理希,M,SBD,Raw,Sub-Juniors,53,60.0,40.0,100.0,200.0
Jim Tim,M,SBD,Raw,MR-O,105,250.0,155.0,240.0,645.0
Matthew Plozza,M,SBD,Raw,Open,93,127.5,82.5,170.0,380.0
Marie-Line Durand,F,SBD,Raw,Masters 2,63,80.0,40.0,115.0,235.0
Anne-Chloe Olix,F,SBD,Raw,FR-O,84+,112.5,62.5,102.5,277.5
Mikael Suonio,M,SBD,Raw,Under 23,83,140.0,105.0,165.0,410.0
Daniel Edwards #5,M,SBD,Raw,MR-O,93,212.5,145.0,235.0,592.5
Wiiliam Harding,M,SBD,Raw,M-C-Open,93,140.0,110.0,200.0,450.0
Wiktor Glinka,M,SBD,Raw,MR-Jr,93,170.0,100.0,180.0,450.0
Giulia Floriana Felecan,F,SBD,Raw,Junior,76,167.5,65.0,125.0,357.5
Oleksiy Rokochyy Jr,M,SBD,Single-ply,Open,110,370.0,260.0,-340.0,290.0
Cezary Swiderek,M,SBD,Raw,Juniorzy do lat 23,93,135.0,80.0,165.0,380.0
Brady Crooks,M,SBD,Raw,M-C-Open,93,-202.5,132.5,222.5,152.5
Sue Ann Roberts,F,SBD,Single-ply,Masters 40-44,56,65.0,27.5,75.0,167.5
Ethan Rausch,M,SBD,Raw,MR-T,83,-182.5,110.0,167.5,95.0
Jack Southwick,M,SBD,Raw,M-C-N,93,-150.0,130.0,170.0,150.0
Phil Frost,M,SBD,Single-ply,M-E-M2,120,225.0,190.0,210.0,625.0
Vadym Katruk,M,SBD,Single-ply,Open,120+,300.0,210.0,260.0,770.0
Sorina Matei,F,SBD,Single-ply,Junior I,63,105.0,25.0,105.0,235.0
Amanda LaCass,F,SBD,Raw,FR-O,84,97.5,60.0,125.0,282.5
Chris Bechara,M,SBD,Raw,MR-T,105,185.0,-125.0,257.5,317.5
William Hickman,M,SBD,Raw,MR-O,105,232.5,-142.5,-245.0,-155.0
Agnès Alves,F,SBD,Raw,Juniors,57,132.5,82.5,152.5,367.5
Josef Pilský,M,SBD,Raw,Open,83,170.0,120.0,175.0,465.0
Jan Zilke,M,SBD,Raw,Open,59,90.0,85.0,110.0,285.0
John Walls,M,SBD,Raw,Juniors,93,205.0,155.0,230.0,590.0
Charan Singh Kharb,M,SBD,Single-ply,Open,90,260.0,145.0,285.0,690.0
Magnus H Hedegård,M,SBD,Raw,Open,74,155.0,100.0,205.0,460.0
Aron Muijsenberg,M,SBD,Single-ply,Juniors,105,125.0,100.0,185.0,410.0
Ragnheiður Kr. Sigurðardóttir,F,SBD,Single-ply,Open,52,90.0,70.0,100.0,260.0
Giacomo Verucchi,M,SBD,Single-ply,Junior,93,270.0,175.0,-240.0,205.0
Peter Redfern,M,SBD,Raw,MR-Jr,93,-157.5,90.0,170.0,102.5
Jonathan Christie,M,SBD,Raw,Open,83,220.0,132.5,262.5,615.0
Tim Rootliep,M,SBD,Raw,Open,105,215.0,122.5,260.0,597.5
Rafael Da Silva Van Gysel,M,SBD,Raw,MR-O,93,185.0,117.5,225.0,527.5
Artem Gorbachev,M,SBD,Single-ply,Open,67.5,100.0,75.0,130.0,305.0
Mohammed Ibrahim #1,M,SBD,Single-ply,Sub-Juniors,75,190.0,110.0,190.0,490.0
Steve Walker #1,M,SBD,Single-ply,Masters 1,75,-230.0,165.0,240.0,175.0
Martin August Størkson Kvile,M,SBD,Raw,Open,83,-150.0,130.0,200.0,180.0
Nikos Kounis,M,SBD,Raw,Open,93,200.0,130.0,230.0,560.0
Ian Bell,M,SBD,Single-ply,Juniors,93,-322.5,182.5,335.0,195.0
Kameron Lange,M,SBD,Single-ply,M-O,105,162.5,90.0,160.0,412.5
Ousmane Diallo,M,SBD,Raw,Juniors,105,210.0,127.5,245.0,582.5
