Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Akshay Shah,M,SBD,Raw,MR-Sj,93,160.0,100.0,195.0,455.0
Amy Atkinson,F,SBD,Raw,Open,72,155.0,95.0,162.5,412.5
Davide Carciola,M,SBD,Raw,Juniors,74,140.0,80.0,200.0,420.0
Zachary Brière,M,SBD,Raw,Juniors,74,180.0,107.5,210.0,497.5
Krystin Krodle,F,SBD,Raw,FR-T,60,77.5,47.5,95.0,220.0
Matt Teske,M,SBD,Single-ply,M-O,93,-227.5,152.5,247.5,172.5
Omar Kerknawi,M,SBD,Raw,Open,83,182.5,137.5,225.0,545.0
Veronika Cyrany,F,SBD,Raw,Sub-Juniors,69,95.0,55.0,130.0,280.0
Nicola Maycock,F,SBD,Raw,F-C-Open,84+,60.0,37.5,100.0,197.5
Bradford Olson,M,SBD,Raw,MR-M2a,66,155.0,115.0,190.0,460.0
Bjørn Andre S. Westbye,M,SBD,Raw,Teen 14-18,120,240.0,110.0,240.0,590.0
Ajay Sharma #1,M,SBD,Raw,M-C-Open,120+,-285.0,190.0,290.0,195.0
Nick Stowell,M,SBD,Single-ply,M-V,100,200.0,85.0,215.0,500.0
Edward Payuyao,M,SBD,Raw,MR-O,83,210.0,125.0,227.5,562.5
Rafaela Mendizabal,F,SBD,Raw,Open,63,115.0,57.5,135.0,307.5
Stefan Solagratio Simanjuntak,M,SBD,Raw,Open,93,190.0,155.0,250.0,595.0
Massimo Primativo,M,SBD,Raw,Junior,74,165.0,120.0,230.0,515.0
Dani Sánchez Forns,M,SBD,Raw,SNR,93,160.0,95.0,205.0,460.0
Michael Gaudet,M,SBD,Raw,MR-M2,83,127.5,105.0,155.0,387.5
Haley Dickens,F,SBD,Single-ply,F-C,72,-110.0,65.0,105.0,60.0
Blake Lander,M,SBD,Raw,MR-Jr,83,167.5,110.0,212.5,490.0
James McIlree,M,SBD,Raw,Juniors,66,145.0,90.0,175.0,410.0
David Hess,M,SBD,Raw,MR-O,105,125.0,70.0,165.0,360.0
Victor Tirebaque,M,SBD,Raw,Seniors,120,190.0,195.0,215.0,600.0
John Huff,M,SBD,Raw,MR-O,120,202.5,-152.5,225.0,275.0
Mordechai Shimon Rosenberg,M,SBD,Raw,O,93,150.0,130.0,190.0,470.0
Matilde Guglielmi,F,SBD,Raw,Sub-Junior,52,102.5,55.0,120.0,277.5
Finn Miller,M,SBD,Raw,MR-Jr,83,125.0,77.5,150.0,352.5
